unmapped_symbol
C1orf112
C2orf83
C12orf4
SLC9A3R2
DUSP13
HSPB11
C20orf27
CCDC113
THEG
TTC26
SLC9A3R1
PRPF4B
FAM172A
C3orf14
C1orf109
C20orf85
FAM104A
C12orf29
MRPS36
C11orf1
SMIM2
C17orf80
RNF165
SPATA5
LINC01558
SOGA1
C18orf25
TMEM251
C7orf31
TEPP
GBAP1
CCDC105
USP41
PPP1R32
LEXM
KIAA1522
FAM102B
C1orf147
C4orf45
ADGRF2
SPATA48
FAM183BP
C9orf24
C9orf64
C10orf82
FAM102A
C19orf48
SMIM4
METTL7B
SPATA5L1
TEX37
PDZD3
CCDC96
FAM166C
C11orf80
C1orf100
PIFO
C9orf131
C16orf91
SLC66A1L
FAM172BP
LINC02910
LINC02904
FLJ13224
FLJ40194
ODF3
ODF3B
C5orf64
LINC02913
C12orf40
ODF3L2
FAM104B
TSPEAR-AS2
ODF3L1
KIAA2026
FLJ40288
TDGF1P2
C22orf46
ZNF72P
TEX33
SSXP4
METTL7A
FAM183A
C17orf97
FAM205C
FAM166A
PP7080
GOLGA6L3
C19orf54
Y_RNA
Metazoa_SRP
TTC30B
TEX43
SSXP1
Metazoa_SRP-1
IRF1-AS1
TTC30A
HHLA3
OR14L1P
TEX45
C1orf68
Y_RNA-1
Y_RNA-2
Y_RNA-3
Y_RNA-4
Y_RNA-5
Y_RNA-6
Y_RNA-7
Y_RNA-8
Y_RNA-9
Y_RNA-10
Y_RNA-11
Y_RNA-12
Y_RNA-13
Y_RNA-14
Y_RNA-15
Y_RNA-16
Y_RNA-17
Y_RNA-18
Y_RNA-19
Y_RNA-20
Y_RNA-21
Y_RNA-22
U3
Y_RNA-23
Y_RNA-24
Y_RNA-25
Y_RNA-26
SNORD62
Y_RNA-27
Y_RNA-28
Y_RNA-29
Y_RNA-30
Y_RNA-31
Y_RNA-32
Y_RNA-33
Y_RNA-34
Y_RNA-35
Y_RNA-36
Y_RNA-37
Y_RNA-38
Y_RNA-39
Y_RNA-40
Y_RNA-41
Y_RNA-42
Y_RNA-43
Y_RNA-44
SNORA63-1
Y_RNA-45
Y_RNA-46
Y_RNA-47
Y_RNA-48
Y_RNA-49
Y_RNA-50
Y_RNA-51
SNORA63-2
Y_RNA-52
Y_RNA-53
Y_RNA-54
Y_RNA-55
Y_RNA-56
Y_RNA-57
Y_RNA-58
Y_RNA-59
Y_RNA-60
Y_RNA-61
Y_RNA-62
U8
Y_RNA-63
Y_RNA-64
Y_RNA-65
Y_RNA-66
