"Assay"	"Sample Characteristic[organism]"	"Sample Characteristic Ontology Term[organism]"	"Sample Characteristic[cell line]"	"Sample Characteristic Ontology Term[cell line]"	"Sample Characteristic[cell type]"	"Sample Characteristic Ontology Term[cell type]"	"Sample Characteristic[specimen with known storage state]"	"Sample Characteristic Ontology Term[specimen with known storage state]"	"Sample Characteristic[cell cycle phase]"	"Sample Characteristic Ontology Term[cell cycle phase]"	"Factor Value[cell cycle phase]"	"Factor Value Ontology Term[cell cycle phase]"	"Factor Value[single cell identifier]"	"Factor Value Ontology Term[single cell identifier]"
"ERR580028"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"AB2.2"	"http://www.ebi.ac.uk/efo/EFO_0002812"	"mouse embryonic stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004038"	"fresh specimen"	"http://purl.obolibrary.org/obo/OBI_0000971"	"S"		"S"		"S_cell12"	
"ERR580029"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"AB2.2"	"http://www.ebi.ac.uk/efo/EFO_0002812"	"mouse embryonic stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004038"	"fresh specimen"	"http://purl.obolibrary.org/obo/OBI_0000971"	"G1"		"G1"		"G1_cell18"	
"ERR580030"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"AB2.2"	"http://www.ebi.ac.uk/efo/EFO_0002812"	"mouse embryonic stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004038"	"fresh specimen"	"http://purl.obolibrary.org/obo/OBI_0000971"	"G2/M"		"G2/M"		"G2M_cell57"	
"ERR580031"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"AB2.2"	"http://www.ebi.ac.uk/efo/EFO_0002812"	"mouse embryonic stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004038"	"fresh specimen"	"http://purl.obolibrary.org/obo/OBI_0000971"	"G1"		"G1"		"G1_cell13"	
"ERR580032"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"AB2.2"	"http://www.ebi.ac.uk/efo/EFO_0002812"	"mouse embryonic stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004038"	"fresh specimen"	"http://purl.obolibrary.org/obo/OBI_0000971"	"G2/M"		"G2/M"		"G2M_cell90"	
"ERR580033"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"AB2.2"	"http://www.ebi.ac.uk/efo/EFO_0002812"	"mouse embryonic stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004038"	"fresh specimen"	"http://purl.obolibrary.org/obo/OBI_0000971"	"G2/M"		"G2/M"		"G2M_cell18"	
"ERR580034"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"AB2.2"	"http://www.ebi.ac.uk/efo/EFO_0002812"	"mouse embryonic stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004038"	"fresh specimen"	"http://purl.obolibrary.org/obo/OBI_0000971"	"G1"		"G1"		"G1_cell79"	
"ERR580035"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"AB2.2"	"http://www.ebi.ac.uk/efo/EFO_0002812"	"mouse embryonic stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004038"	"fresh specimen"	"http://purl.obolibrary.org/obo/OBI_0000971"	"S"		"S"		"S_cell75"	
"ERR580036"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"AB2.2"	"http://www.ebi.ac.uk/efo/EFO_0002812"	"mouse embryonic stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004038"	"fresh specimen"	"http://purl.obolibrary.org/obo/OBI_0000971"	"G2/M"		"G2/M"		"G2M_cell41"	
"ERR580037"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"AB2.2"	"http://www.ebi.ac.uk/efo/EFO_0002812"	"mouse embryonic stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004038"	"fresh specimen"	"http://purl.obolibrary.org/obo/OBI_0000971"	"G1"		"G1"		"G1_cell10"	
